[VEP run statistics]
VEP version (API)	 115.2 (115)
missense_variant	185518
protein_altering_variant	75
splice_donor_5th_base_variant	21
splice_region_variant	10858
splice_donor_region_variant	15
incomplete_terminal_codon_variant	50
start_retained_variant	30
stop_retained_variant	67
synonymous_variant	88022
coding_sequence_variant	322
5_prime_UTR_variant	9
3_prime_UTR_variant	14
intron_variant	178
NMD_transcript_variant	28191

[Coding consequences]
stop_gained	12403
frameshift_variant	11139
stop_lost	439
start_lost	509
inframe_insertion	412
inframe_deletion	982
missense_variant	185518
protein_altering_variant	75
incomplete_terminal_codon_variant	50
start_retained_variant	30
stop_retained_variant	67
synonymous_variant	88022
coding_sequence_variant	322

[SIFT summary]
tolerated_low_confidence	11315
deleterious_low_confidence	11607
tolerated	76390
deleterious	82453

[PolyPhen summary]
unknown	2324
possibly_damaging	31381
probably_damaging	56583
benign	93628

[Variants by chromosome]
chr1	229244
chr2	231223
chr3	189817
chr4	192947
chr5	165515
chr6	156930
chr7	158101
chr8	137925
chr9	124080
chr10	149494
chr11	141749
chr12	136284
chr13	97785
chr14	86571
chr15	80280
chr16	92546
chr17	89349
chr18	76230
chr19	70941
chr20	81744
chr21	49257
chr22	49342
chr11_JH159136v1_alt	2
chr10_GL383545v1_alt	1
chr1_KI270760v1_alt	17
chr18_KI270912v1_alt	1
chr1_KI270707v1_random	42
chr14_GL000194v1_random	578
chr11_KI270827v1_alt	8
chr11_KI270829v1_alt	4
chr12_GL877876v1_alt	10
chr17_KI270730v1_random	2187
chr19_KI270865v1_alt	5
chr19_GL383573v1_alt	3
chr16_GL383557v1_alt	6
chr18_GL383569v1_alt	5
chr18_GL383568v1_alt	18
chr11_KI270903v1_alt	61
chr14_KI270844v1_alt	11
chr19_GL949753v2_alt	2
chr15_GL383555v2_alt	19
chr13_KI270843v1_alt	1
chr18_KI270863v1_alt	5
chr11_KI270927v1_alt	31
chr16_KI270853v1_alt	139
chr14_KI270846v1_alt	43
chr17_GL383563v3_alt	66
chr1_KI270710v1_random	113
chr17_KI270907v1_alt	11
chr14_KI270722v1_random	666
chr17_KI270909v1_alt	4
chr1_KI270712v1_random	219
chr18_GL383571v1_alt	32
chr1_KI270708v1_random	124
chr17_KI270860v1_alt	10
chr19_KI270868v1_alt	5
chr1_KI270764v1_alt	12
chr19_GL949746v1_alt	11
chr17_KI270908v1_alt	43
chr17_GL000258v2_alt	25
chr15_KI270906v1_alt	5
chr1_KI270711v1_random	110
chr1_KI270709v1_random	716
chr13_KI270841v1_alt	7
chr11_KI270830v1_alt	13
chr11_GL383547v1_alt	6
chr11_KI270832v1_alt	36
chr14_KI270724v1_random	540
chr1_KI270761v1_alt	4
chr1_KI270706v1_random	389
chr12_KI270834v1_alt	3
chr17_KI270729v1_random	3190
chr17_GL000205v2_random	1260
chr1_KI270762v1_alt	222
chr1_KI270714v1_random	20
chr17_KI270862v1_alt	23
chr12_KI270836v1_alt	7
chr12_GL383549v1_alt	6
chr17_JH159147v1_alt	4
chr19_KI270938v1_alt	8
chr11_KI270721v1_random	2
chr14_KI270726v1_random	5
chr12_GL383550v2_alt	16
chr15_KI270851v1_alt	8
chr19_GL383575v2_alt	31
chr18_GL383570v1_alt	13
chr16_KI270856v1_alt	1
chr17_GL383565v1_alt	1
chr17_KI270861v1_alt	3
chr14_GL000225v1_random	12966
chr19_GL383574v1_alt	7
chr14_KI270845v1_alt	3
chr11_KI270831v1_alt	24
chr19_GL383576v1_alt	8
chr13_KI270840v1_alt	7
chr16_KI270728v1_random	531
chr19_KI270866v1_alt	217
chr18_KI270864v1_alt	2
chr16_KI270854v1_alt	10
chr17_JH159146v1_alt	7
chr13_KI270842v1_alt	6
chr12_KI270837v1_alt	1
chr17_KI270859v1_alt	11
chr12_GL877875v1_alt	38
chr17_KI270857v1_alt	116
chr11_KI270902v1_alt	69
chr17_KI270858v1_alt	3
chr12_KI270904v1_alt	22
chr10_GL383546v1_alt	1
chr18_GL383572v1_alt	8
chr15_KI270850v1_alt	32
chr12_KI270833v1_alt	1
chr14_KI270725v1_random	258
chr12_GL383553v2_alt	2
chr1_KI270765v1_alt	39
chr19_GL949747v2_alt	5
chr14_KI270723v1_random	624
chr11_KI270826v1_alt	2
chr12_KI270835v1_alt	27
chr1_KI270713v1_random	176
chr1_GL383520v2_alt	10
chr15_GL383554v1_alt	2
chr11_JH159137v1_alt	20
chr14_KI270847v1_alt	2
chr14_GL000009v2_random	506
chr13_KI270838v1_alt	4
chr1_KI270763v1_alt	2
chr15_KI270849v1_alt	7
chr15_KI270905v1_alt	191
chr13_KI270839v1_alt	4
chr10_KI270824v1_alt	14
chr15_KI270848v1_alt	25
chr12_GL383551v1_alt	9
chr1_KI270892v1_alt	3
chr19_GL949752v1_alt	9
chr16_GL383556v1_alt	11
chr1_KI270759v1_alt	14
chr18_KI270911v1_alt	13
chr1_KI270766v1_alt	20
chr22_KI270732v1_random	203
chr21_KI270874v1_alt	8
chr2_KI270775v1_alt	5
chr22_KI270876v1_alt	8
chr22_KI270734v1_random	76
chr22_KI270928v1_alt	12
chr2_KI270776v1_alt	6
chr2_KI270773v1_alt	10
chr21_KI270872v1_alt	4
chr20_KI270870v1_alt	9
chr22_KI270736v1_random	4736
chr22_GL383582v2_alt	2
chr21_GL383580v2_alt	1
chr2_GL582966v2_alt	2
chr22_KI270735v1_random	692
chr22_KI270733v1_random	424
chr2_GL383522v1_alt	8
chr2_KI270774v1_alt	24
chr22_KI270875v1_alt	10
chr20_KI270869v1_alt	7
chr2_GL383521v1_alt	3
chr2_KI270772v1_alt	124
chr2_KI270771v1_alt	1
chr21_GL383581v2_alt	24
chr21_KI270873v1_alt	2
chr22_KB663609v1_alt	1
chr22_KI270738v1_random	610
chr22_GL383583v2_alt	3
chr2_KI270768v1_alt	24
chr22_KI270737v1_random	150
chr22_KI270739v1_random	39
chr2_KI270894v1_alt	47
chr2_KI270769v1_alt	7
chr22_KI270879v1_alt	39
chr21_GL383578v2_alt	11
chr22_KI270877v1_alt	16
chr22_KI270731v1_random	81
chr21_GL383579v2_alt	2
chr2_KI270716v1_random	36
chr20_KI270871v1_alt	19
chr22_KI270878v1_alt	50
chr3_KI270779v1_alt	43
chr3_GL383526v1_alt	5
chr3_KI270778v1_alt	3
chr3_KI270780v1_alt	15
chr3_KI270924v1_alt	14
chr3_KI270777v1_alt	3
chr3_KI270782v1_alt	5
chr3_KI270781v1_alt	8
chr3_KI270895v1_alt	3
chr3_GL000221v1_random	111
chr3_KI270784v1_alt	12
chr3_JH636055v2_alt	1
chr3_KI270937v1_alt	19
chr3_KI270936v1_alt	4
chr3_KI270783v1_alt	12
chr3_KI270935v1_alt	14
chr4_KI270786v1_alt	38
chr4_KI270788v1_alt	4
chr4_KI270789v1_alt	18
chr4_KI270785v1_alt	6
chr4_KI270925v1_alt	55
chr4_KI270787v1_alt	6
chr4_KI270896v1_alt	31
chr4_GL383527v1_alt	22
chr4_GL000008v2_random	886
chr4_GL000257v2_alt	30
chr4_KI270790v1_alt	20
chr5_KI270897v1_alt	14
chr5_KI270898v1_alt	2
chr5_KI270792v1_alt	11
chr5_KI270794v1_alt	3
chr5_GL339449v2_alt	36
chr5_GL383530v1_alt	3
chr5_GL949742v1_alt	23
chr5_GL000208v1_random	336
chr5_GL383532v1_alt	12
chr5_KI270795v1_alt	16
chr5_GL383531v1_alt	7
chr6_GL000253v2_alt	105
chr6_KI270800v1_alt	1
chr6_GL000256v2_alt	100
chr6_GL383533v1_alt	44
chr6_GL000255v2_alt	98
chr6_KI270801v1_alt	3
chr6_KI270802v1_alt	10
chr6_GL000251v2_alt	61
chr6_GL000252v2_alt	62
chr6_GL000254v2_alt	18
chr6_KI270758v1_alt	1
chr6_KI270798v1_alt	5
chr6_KI270799v1_alt	1
chr6_GL000250v2_alt	3
chr6_KB021644v2_alt	9
chr6_KI270797v1_alt	7
chr7_KI270804v1_alt	6
chr7_KI270899v1_alt	18
chr7_KI270803v1_alt	108
chr7_KI270806v1_alt	4
chr7_KI270805v1_alt	9
chr7_KI270809v1_alt	11
chr7_KI270808v1_alt	6
chr7_KI270807v1_alt	3
chr7_GL383534v2_alt	1
chr8_KI270900v1_alt	27
chr8_KI270817v1_alt	8
chr8_KI270820v1_alt	12
chr8_KI270818v1_alt	22
chr8_KI270819v1_alt	10
chr8_KI270815v1_alt	3
chr8_KI270822v1_alt	13
chr8_KI270901v1_alt	7
chr8_KI270816v1_alt	5
chr8_KI270821v1_alt	114
chr8_KI270813v1_alt	15
chr8_KI270810v1_alt	21
chr8_KI270926v1_alt	3
chr8_KI270812v1_alt	3
chr9_KI270717v1_random	8
chr9_KI270720v1_random	279
chr9_KI270719v1_random	259
chr9_GL383542v1_alt	17
chr9_KI270718v1_random	77
chr9_GL383541v1_alt	1
chrM	40
chrUn_KI270757v1	1159
chrUn_KI270442v1	6649
chrUn_KI270751v1	588
chrUn_GL000214v1	324
chrUn_GL000220v1	160
chrUn_KI270333v1	354
chrUn_GL000224v1	435
chrUn_KI270744v1	557
chrUn_KI270337v1	156
chrUn_KI270438v1	2298
chrUn_KI270753v1	40
chrUn_GL000216v2	6044
chrUn_KI270742v1	268
chrUn_KI270755v1	6
chrUn_KI270519v1	1627
chrUn_KI270521v1	19
chrUn_GL000213v1	14
chrUn_KI270747v1	116
chrUn_KI270336v1	120
chrUn_KI270749v1	228
chrUn_KI270748v1	8
chrUn_KI270330v1	21
chrUn_KI270466v1	92
chrUn_KI270741v1	17
chrUn_GL000195v1	574
chrUn_KI270754v1	191
chrUn_KI270756v1	485
chrUn_KI270750v1	306
chrUn_KI270581v1	5
chrUn_KI270743v1	382
chrUn_GL000219v1	1425
chrUn_GL000218v1	439
chrUn_KI270745v1	30
chrUn_KI270538v1	737
chrX_KI270913v1_alt	24
chrX	57581
chrX_KI270880v1_alt	5
chrY	25498

[Distribution of variants on chromosome chr1]
0	756
1	1976
2	1026
3	1601
4	1478
5	1360
6	1235
7	1225
8	1142
9	1190
10	1163
11	1507
12	861
13	859
14	1087
15	1245
16	1630
17	1253
18	1335
19	1100
20	1118
21	1237
22	1255
23	1276
24	1104
25	994
26	1022
27	1075
28	840
29	1174
30	1068
31	1223
32	925
33	1068
34	959
35	834
36	1100
37	945
38	1052
39	956
40	1004
41	984
42	1090
43	872
44	939
45	900
46	984
47	905
48	938
49	587
50	610
51	678
52	909
53	1259
54	1369
55	1025
56	1104
57	915
58	1035
59	889
60	815
61	962
62	1069
63	1087
64	992
65	931
66	1042
67	1058
68	941
69	758
70	888
71	760
72	728
73	1024
74	863
75	981
76	998
77	850
78	994
79	966
80	872
81	961
82	906
83	882
84	1054
85	810
86	929
87	859
88	759
89	956
90	760
91	1252
92	986
93	805
94	1150
95	864
96	903
97	742
98	840
99	1009
100	934
101	907
102	1155
103	688
104	1118
105	917
106	916
107	1004
108	908
109	1227
110	1181
111	1226
112	975
113	831
114	951
115	1258
116	678
117	1075
118	917
119	1109
120	418
121	480
122	151
123	19
124	310
125	1370
126	0
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	2461
144	151
145	528
146	444
147	1052
148	445
149	388
150	971
151	1262
152	966
153	944
154	1185
155	942
156	1368
157	1075
158	1388
159	928
160	1256
161	1085
162	1188
163	989
164	1102
165	1161
166	1171
167	932
168	855
169	1125
170	957
171	1106
172	986
173	727
174	833
175	1116
176	908
177	733
178	690
179	1231
180	998
181	1052
182	953
183	1128
184	858
185	765
186	830
187	1087
188	1311
189	863
190	891
191	771
192	839
193	1063
194	832
195	927
196	854
197	838
198	573
199	701
200	938
201	1401
202	1236
203	1186
204	1249
205	1329
206	845
207	1106
208	1042
209	979
210	975
211	910
212	1190
213	907
214	1119
215	825
216	894
217	922
218	936
219	1127
220	926
221	871
222	1005
223	984
224	1153
225	1004
226	873
227	996
228	872
229	945
230	1260
231	915
232	1007
233	1003
234	869
235	947
236	1017
237	1007
238	949
239	930
240	937
241	1071
242	1173
243	105
244	1144
245	751
246	1253
247	1453
248	946

[Distribution of variants on chromosome chr10]
0	1050
1	1664
2	1404
3	1508
4	1147
5	1627
6	1441
7	1144
8	1312
9	863
10	932
11	1239
12	1386
13	1577
14	1142
15	1070
16	1006
17	1061
18	1111
19	992
20	1068
21	620
22	552
23	567
24	887
25	961
26	968
27	975
28	1235
29	1276
30	1226
31	772
32	1058
33	1206
34	802
35	704
36	987
37	675
38	3036
39	1471
40	588
41	6503
42	1755
43	1096
44	1086
45	525
46	895
47	688
48	1070
49	1244
50	1105
51	841
52	1174
53	1051
54	1292
55	945
56	1370
57	1226
58	1083
59	1016
60	982
61	839
62	1022
63	1001
64	845
65	1020
66	1211
67	781
68	1286
69	1520
70	1254
71	1274
72	750
73	715
74	768
75	735
76	913
77	854
78	910
79	1241
80	1099
81	801
82	759
83	1083
84	820
85	791
86	1141
87	730
88	884
89	994
90	968
91	846
92	769
93	1195
94	844
95	1119
96	1031
97	1197
98	1108
99	1182
100	958
101	940
102	1085
103	1039
104	1075
105	762
106	991
107	855
108	956
109	927
110	1036
111	1109
112	840
113	1001
114	1085
115	963
116	1165
117	1118
118	862
119	1366
120	1337
121	1244
122	1093
123	1288
124	1420
125	1083
126	1186
127	1504
128	1130
129	1185
130	1337
131	1418
132	1293
133	1286

[Distribution of variants on chromosome chr10_GL383545v1_alt]
0	1

[Distribution of variants on chromosome chr10_GL383546v1_alt]
0	1

[Distribution of variants on chromosome chr10_KI270824v1_alt]
0	14

[Distribution of variants on chromosome chr11]
0	1059
1	1014
2	969
3	1395
4	1334
5	1668
6	1435
7	994
8	1333
9	1132
10	1192
11	1376
12	1121
13	1215
14	726
15	1081
16	861
17	967
18	1228
19	1361
20	1249
21	1280
22	1045
23	1310
24	1056
25	1245
26	1215
27	1016
28	827
29	731
30	937
31	625
32	1142
33	1013
34	1306
35	964
36	1032
37	1124
38	1048
39	895
40	798
41	1024
42	1050
43	859
44	1282
45	1112
46	837
47	1113
48	1894
49	966
50	1435
51	338
52	393
53	475
54	1115
55	1153
56	561
57	1013
58	1018
59	823
60	1101
61	1115
62	1128
63	1142
64	1376
65	1249
66	999
67	1383
68	1160
69	1427
70	1206
71	1365
72	1025
73	810
74	1059
75	890
76	1035
77	753
78	1039
79	825
80	893
81	1049
82	917
83	867
84	776
85	788
86	1065
87	1210
88	1102
89	590
90	808
91	822
92	957
93	1219
94	1161
95	950
96	906
97	952
98	1251
99	1121
100	1018
101	1108
102	1091
103	1172
104	975
105	975
106	856
107	965
108	913
109	759
110	865
111	874
112	1127
113	1059
114	1166
115	796
116	1005
117	1197
118	1284
119	1371
120	1075
121	1049
122	1061
123	1109
124	1086
125	1189
126	1314
127	787
128	1110
129	926
130	1088
131	1152
132	895
133	949
134	981
135	131

[Distribution of variants on chromosome chr11_GL383547v1_alt]
0	6

[Distribution of variants on chromosome chr11_JH159136v1_alt]
0	2

[Distribution of variants on chromosome chr11_JH159137v1_alt]
0	20

[Distribution of variants on chromosome chr11_KI270721v1_random]
0	2

[Distribution of variants on chromosome chr11_KI270826v1_alt]
0	2

[Distribution of variants on chromosome chr11_KI270827v1_alt]
0	8

[Distribution of variants on chromosome chr11_KI270829v1_alt]
0	4

[Distribution of variants on chromosome chr11_KI270830v1_alt]
0	13

[Distribution of variants on chromosome chr11_KI270831v1_alt]
0	24

[Distribution of variants on chromosome chr11_KI270832v1_alt]
0	36

[Distribution of variants on chromosome chr11_KI270902v1_alt]
0	69

[Distribution of variants on chromosome chr11_KI270903v1_alt]
0	61

[Distribution of variants on chromosome chr11_KI270927v1_alt]
0	31

[Distribution of variants on chromosome chr12]
0	996
1	1075
2	1204
3	1318
4	1184
5	1185
6	1320
7	1080
8	1395
9	1329
10	1057
11	700
12	1002
13	1134
14	1147
15	899
16	835
17	921
18	794
19	1205
20	1294
21	1140
22	808
23	860
24	1043
25	1215
26	994
27	1044
28	715
29	1068
30	1487
31	1007
32	979
33	1061
34	1223
35	298
36	417
37	1814
38	1007
39	824
40	1214
41	942
42	1158
43	955
44	661
45	914
46	1070
47	1293
48	1101
49	925
50	1101
51	1114
52	1686
53	1098
54	1175
55	957
56	1143
57	1055
58	740
59	700
60	874
61	1052
62	942
63	1071
64	1026
65	795
66	974
67	921
68	900
69	1092
70	951
71	959
72	682
73	776
74	689
75	972
76	913
77	992
78	710
79	581
80	755
81	770
82	797
83	1084
84	738
85	582
86	758
87	780
88	654
89	825
90	876
91	905
92	1034
93	945
94	1127
95	1102
96	844
97	944
98	944
99	845
100	838
101	816
102	814
103	1059
104	1060
105	998
106	1037
107	1087
108	1181
109	1243
110	723
111	813
112	970
113	1216
114	1129
115	1095
116	966
117	1258
118	1043
119	1030
120	1134
121	1166
122	1190
123	1002
124	1550
125	1124
126	961
127	1344
128	1509
129	1435
130	1600
131	1516
132	1795
133	321

[Distribution of variants on chromosome chr12_GL383549v1_alt]
0	6

[Distribution of variants on chromosome chr12_GL383550v2_alt]
0	16

[Distribution of variants on chromosome chr12_GL383551v1_alt]
0	9

[Distribution of variants on chromosome chr12_GL383553v2_alt]
0	2

[Distribution of variants on chromosome chr12_GL877875v1_alt]
0	38

[Distribution of variants on chromosome chr12_GL877876v1_alt]
0	10

[Distribution of variants on chromosome chr12_KI270833v1_alt]
0	1

[Distribution of variants on chromosome chr12_KI270834v1_alt]
0	3

[Distribution of variants on chromosome chr12_KI270835v1_alt]
0	27

[Distribution of variants on chromosome chr12_KI270836v1_alt]
0	7

[Distribution of variants on chromosome chr12_KI270837v1_alt]
0	1

[Distribution of variants on chromosome chr12_KI270904v1_alt]
0	22

[Distribution of variants on chromosome chr13]
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	1
17	1
18	902
19	1503
20	1353
21	1207
22	1161
23	1278
24	1601
25	1034
26	1368
27	1258
28	1035
29	1387
30	1132
31	1240
32	883
33	916
34	913
35	932
36	1149
37	1115
38	1080
39	1217
40	1045
41	906
42	1145
43	1010
44	890
45	875
46	1160
47	1076
48	883
49	1124
50	853
51	756
52	1023
53	846
54	922
55	1026
56	666
57	830
58	851
59	1015
60	909
61	937
62	845
63	1195
64	718
65	805
66	954
67	788
68	960
69	1100
70	1033
71	812
72	926
73	1066
74	969
75	1073
76	991
77	737
78	1053
79	873
80	797
81	892
82	717
83	957
84	791
85	1033
86	709
87	632
88	1006
89	902
90	896
91	835
92	716
93	1048
94	1099
95	1160
96	788
97	897
98	1304
99	980
100	1015
101	953
102	964
103	1048
104	1017
105	1078
106	1036
107	1097
108	1163
109	1107
110	1721
111	1172
112	978
113	1624
114	341

[Distribution of variants on chromosome chr13_KI270838v1_alt]
0	4

[Distribution of variants on chromosome chr13_KI270839v1_alt]
0	4

[Distribution of variants on chromosome chr13_KI270840v1_alt]
0	7

[Distribution of variants on chromosome chr13_KI270841v1_alt]
0	7

[Distribution of variants on chromosome chr13_KI270842v1_alt]
0	6

[Distribution of variants on chromosome chr13_KI270843v1_alt]
0	1

[Distribution of variants on chromosome chr14]
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	136
17	0
18	303
19	1015
20	1412
21	1355
22	1303
23	1032
24	1348
25	952
26	844
27	807
28	692
29	702
30	804
31	854
32	1002
33	881
34	1150
35	838
36	1162
37	947
38	862
39	1002
40	1048
41	1015
42	827
43	765
44	784
45	907
46	946
47	1030
48	805
49	1008
50	1194
51	1183
52	1226
53	1018
54	886
55	1057
56	1158
57	884
58	922
59	835
60	874
61	986
62	963
63	696
64	1056
65	983
66	773
67	932
68	999
69	990
70	1200
71	840
72	1216
73	1009
74	1130
75	1033
76	1305
77	1423
78	1044
79	903
80	847
81	884
82	865
83	750
84	840
85	975
86	955
87	981
88	949
89	1111
90	1192
91	858
92	1402
93	0
94	834
95	1463
96	1008
97	944
98	1049
99	1219
100	1007
101	919
102	851
103	1199
104	1455
105	715
106	43
107	0

[Distribution of variants on chromosome chr14_GL000009v2_random]
0	506

[Distribution of variants on chromosome chr14_GL000194v1_random]
0	578

[Distribution of variants on chromosome chr14_GL000225v1_random]
0	12966

[Distribution of variants on chromosome chr14_KI270722v1_random]
0	666

[Distribution of variants on chromosome chr14_KI270723v1_random]
0	624

[Distribution of variants on chromosome chr14_KI270724v1_random]
0	540

[Distribution of variants on chromosome chr14_KI270725v1_random]
0	258

[Distribution of variants on chromosome chr14_KI270726v1_random]
0	5

[Distribution of variants on chromosome chr14_KI270844v1_alt]
0	11

[Distribution of variants on chromosome chr14_KI270845v1_alt]
0	3

[Distribution of variants on chromosome chr14_KI270846v1_alt]
0	30
1	13

[Distribution of variants on chromosome chr14_KI270847v1_alt]
0	0
1	2

[Distribution of variants on chromosome chr15]
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	848
18	152
19	635
20	1233
21	229
22	620
23	831
24	1174
25	1269
26	982
27	860
28	198
29	49
30	61
31	33
32	98
33	1346
34	1124
35	932
36	1027
37	677
38	1099
39	989
40	1210
41	959
42	1008
43	787
44	478
45	986
46	978
47	936
48	784
49	875
50	939
51	965
52	1038
53	1172
54	1217
55	994
56	1004
57	1383
58	1028
59	1119
60	1053
61	1038
62	1082
63	1130
64	1061
65	800
66	958
67	1000
68	1130
69	1130
70	976
71	1126
72	971
73	946
74	1105
75	1074
76	867
77	940
78	1405
79	1190
80	1048
81	772
82	621
83	785
84	780
85	1187
86	1107
87	977
88	1151
89	1073
90	1294
91	1056
92	1269
93	1340
94	818
95	704
96	943
97	954
98	1253
99	1193
100	1483
101	1164

[Distribution of variants on chromosome chr15_GL383554v1_alt]
0	2

[Distribution of variants on chromosome chr15_GL383555v2_alt]
0	19

[Distribution of variants on chromosome chr15_KI270848v1_alt]
0	25

[Distribution of variants on chromosome chr15_KI270849v1_alt]
0	7

[Distribution of variants on chromosome chr15_KI270850v1_alt]
0	32

[Distribution of variants on chromosome chr15_KI270851v1_alt]
0	8

[Distribution of variants on chromosome chr15_KI270905v1_alt]
0	13
1	41
2	46
3	52
4	36
5	3

[Distribution of variants on chromosome chr15_KI270906v1_alt]
0	5

[Distribution of variants on chromosome chr16]
0	1949
1	1751
2	1274
3	1303
4	1180
5	1537
6	1796
7	1699
8	1827
9	1312
10	1479
11	1506
12	1370
13	1158
14	291
15	26
16	63
17	1001
18	566
19	1102
20	1252
21	687
22	777
23	1036
24	1059
25	1170
26	1188
27	1118
28	929
29	699
30	960
31	1144
32	390
33	447
34	3219
35	613
36	858
37	101
38	52
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	1242
47	735
48	886
49	928
50	1090
51	987
52	1062
53	1026
54	1130
55	1191
56	1228
57	1420
58	1344
59	749
60	743
61	669
62	635
63	683
64	878
65	915
66	1048
67	797
68	864
69	785
70	771
71	952
72	827
73	966
74	1048
75	1318
76	913
77	1494
78	1340
79	1256
80	1316
81	1807
82	1354
83	1617
84	2139
85	1550
86	1587
87	1523
88	1925
89	1675
90	244

[Distribution of variants on chromosome chr16_GL383556v1_alt]
0	11

[Distribution of variants on chromosome chr16_GL383557v1_alt]
0	6

[Distribution of variants on chromosome chr16_KI270728v1_random]
0	49
1	482

[Distribution of variants on chromosome chr16_KI270853v1_alt]
0	57
1	51
2	31

[Distribution of variants on chromosome chr16_KI270854v1_alt]
0	10

[Distribution of variants on chromosome chr16_KI270856v1_alt]
0	1

[Distribution of variants on chromosome chr17]
0	858
1	606
2	1187
3	1366
4	1550
5	1230
6	1432
7	1671
8	1328
9	1251
10	1226
11	995
12	1032
13	1315
14	1175
15	954
16	875
17	921
18	1188
19	780
20	763
21	5423
22	1579
23	250
24	127
25	187
26	3475
27	1058
28	809
29	887
30	671
31	1036
32	929
33	1139
34	1208
35	881
36	42
37	38
38	186
39	1010
40	807
41	1047
42	1183
43	1114
44	1232
45	359
46	153
47	1054
48	1081
49	1122
50	1234
51	890
52	902
53	659
54	765
55	849
56	1013
57	1067
58	852
59	834
60	582
61	744
62	843
63	949
64	974
65	1221
66	1211
67	1064
68	1170
69	975
70	771
71	717
72	877
73	1316
74	1315
75	1501
76	1442
77	1150
78	1448
79	1455
80	1528
81	1518
82	1531
83	192

[Distribution of variants on chromosome chr17_GL000205v2_random]
0	1260

[Distribution of variants on chromosome chr17_GL000258v2_alt]
0	14
1	11

[Distribution of variants on chromosome chr17_GL383563v3_alt]
0	66

[Distribution of variants on chromosome chr17_GL383565v1_alt]
0	1

[Distribution of variants on chromosome chr17_JH159146v1_alt]
0	7

[Distribution of variants on chromosome chr17_JH159147v1_alt]
0	4

[Distribution of variants on chromosome chr17_KI270729v1_random]
0	3190

[Distribution of variants on chromosome chr17_KI270730v1_random]
0	2187

[Distribution of variants on chromosome chr17_KI270857v1_alt]
0	44
1	35
2	37

[Distribution of variants on chromosome chr17_KI270858v1_alt]
0	3

[Distribution of variants on chromosome chr17_KI270859v1_alt]
0	11

[Distribution of variants on chromosome chr17_KI270860v1_alt]
0	10

